nth vaddr      bind type lib          name
38  0x00449484 NONE FUNC user32.dll   ReleaseDC
39  0x00449488 NONE FUNC user32.dll   ReleaseCapture
40  0x0044948c NONE FUNC user32.dll   RegisterWindowMessageA
41  0x00449490 NONE FUNC user32.dll   RegisterClipboardFormatA
42  0x00449494 NONE FUNC user32.dll   RegisterClassA
43  0x00449498 NONE FUNC user32.dll   PtInRect
44  0x0044949c NONE FUNC user32.dll   PostQuitMessage
45  0x004494a0 NONE FUNC user32.dll   PostMessageA
46  0x004494a4 NONE FUNC user32.dll   PeekMessageA
47  0x004494a8 NONE FUNC user32.dll   OffsetRect
48  0x004494ac NONE FUNC user32.dll   OemToCharA
49  0x004494b0 NONE FUNC user32.dll   MsgWaitForMultipleObjects
50  0x004491c0 NONE FUNC user32.dll   MessageBoxA
51  0x004494b8 NONE FUNC user32.dll   MapWindowPoints
52  0x004494bc NONE FUNC user32.dll   MapVirtualKeyA
53  0x004491bc NONE FUNC user32.dll   LoadStringA
54  0x004494c4 NONE FUNC user32.dll   LoadKeyboardLayoutA
55  0x004494c8 NONE FUNC user32.dll   LoadIconA
56  0x004494cc NONE FUNC user32.dll   LoadCursorA
57  0x004494d0 NONE FUNC user32.dll   LoadBitmapA
58  0x004494d4 NONE FUNC user32.dll   KillTimer
59  0x004494d8 NONE FUNC user32.dll   IsZoomed
60  0x004494dc NONE FUNC user32.dll   IsWindowVisible
61  0x004494e0 NONE FUNC user32.dll   IsWindowEnabled
62  0x004494e4 NONE FUNC user32.dll   IsWindow
63  0x004494e8 NONE FUNC user32.dll   IsRectEmpty
64  0x004494ec NONE FUNC user32.dll   IsIconic
65  0x004494f0 NONE FUNC user32.dll   IsDialogMessageA
66  0x004494f4 NONE FUNC user32.dll   IsChild
67  0x004494f8 NONE FUNC user32.dll   InvalidateRect
68  0x004494fc NONE FUNC user32.dll   IntersectRect
69  0x00449500 NONE FUNC user32.dll   InsertMenuItemA
70  0x00449504 NONE FUNC user32.dll   InsertMenuA
71  0x00449508 NONE FUNC user32.dll   InflateRect
72  0x0044950c NONE FUNC user32.dll   GetWindowThreadProcessId
73  0x00449510 NONE FUNC user32.dll   GetWindowTextA
74  0x00449514 NONE FUNC user32.dll   GetWindowRect
75  0x00449518 NONE FUNC user32.dll   GetWindowPlacement
76  0x0044951c NONE FUNC user32.dll   GetWindowLongA
77  0x00449520 NONE FUNC user32.dll   GetWindowDC
78  0x00449524 NONE FUNC user32.dll   GetTopWindow
79  0x00449528 NONE FUNC user32.dll   GetSystemMetrics
80  0x0044952c NONE FUNC user32.dll   GetSystemMenu
81  0x00449530 NONE FUNC user32.dll   GetSysColor
82  0x00449534 NONE FUNC user32.dll   GetSubMenu
83  0x00449538 NONE FUNC user32.dll   GetScrollRange
84  0x0044953c NONE FUNC user32.dll   GetScrollPos
85  0x00449540 NONE FUNC user32.dll   GetScrollInfo
86  0x00449544 NONE FUNC user32.dll   GetPropA
87  0x00449548 NONE FUNC user32.dll   GetParent
88  0x0044954c NONE FUNC user32.dll   GetWindow
89  0x00449550 NONE FUNC user32.dll   GetMenuStringA
