nth vaddr      bind type lib          name
78  0x027b06d8 NONE FUNC user32.dll   IsCharAlphaNumericA
79  0x027b06dc NONE FUNC user32.dll   IsCharAlphaA
80  0x027b06e0 NONE FUNC user32.dll   InvalidateRect
81  0x027b06e4 NONE FUNC user32.dll   IntersectRect
82  0x027b06e8 NONE FUNC user32.dll   InsertMenuItemA
83  0x027b06ec NONE FUNC user32.dll   InsertMenuA
84  0x027b06f0 NONE FUNC user32.dll   InflateRect
85  0x027b06f4 NONE FUNC user32.dll   GetWindowThreadProcessId
86  0x027b06f8 NONE FUNC user32.dll   GetWindowTextA
87  0x027b06fc NONE FUNC user32.dll   GetWindowRect
88  0x027b0700 NONE FUNC user32.dll   GetWindowPlacement
89  0x027b0704 NONE FUNC user32.dll   GetWindowLongA
90  0x027b0708 NONE FUNC user32.dll   GetWindowDC
91  0x027b070c NONE FUNC user32.dll   GetUpdateRect
92  0x027b0710 NONE FUNC user32.dll   GetTopWindow
93  0x027b0714 NONE FUNC user32.dll   GetSystemMetrics
94  0x027b0718 NONE FUNC user32.dll   GetSystemMenu
95  0x027b071c NONE FUNC user32.dll   GetSysColorBrush
96  0x027b0720 NONE FUNC user32.dll   GetSysColor
97  0x027b0724 NONE FUNC user32.dll   GetSubMenu
98  0x027b0728 NONE FUNC user32.dll   GetScrollRange
99  0x027b072c NONE FUNC user32.dll   GetScrollPos
100 0x027b0730 NONE FUNC user32.dll   GetScrollInfo
101 0x027b0734 NONE FUNC user32.dll   GetPropA
102 0x027b0738 NONE FUNC user32.dll   GetParent
103 0x027b073c NONE FUNC user32.dll   GetWindow
104 0x027b0740 NONE FUNC user32.dll   GetMessageTime
105 0x027b0744 NONE FUNC user32.dll   GetMenuStringA
106 0x027b0748 NONE FUNC user32.dll   GetMenuState
107 0x027b074c NONE FUNC user32.dll   GetMenuItemInfoA
108 0x027b0750 NONE FUNC user32.dll   GetMenuItemID
109 0x027b0754 NONE FUNC user32.dll   GetMenuItemCount
110 0x027b0758 NONE FUNC user32.dll   GetMenu
111 0x027b075c NONE FUNC user32.dll   GetLastActivePopup
112 0x027b0760 NONE FUNC user32.dll   GetKeyboardState
113 0x027b0764 NONE FUNC user32.dll   GetKeyboardLayoutList
114 0x027b0768 NONE FUNC user32.dll   GetKeyboardLayout
115 0x027b076c NONE FUNC user32.dll   GetKeyState
116 0x027b0770 NONE FUNC user32.dll   GetKeyNameTextA
117 0x027b0774 NONE FUNC user32.dll   GetIconInfo
118 0x027b0778 NONE FUNC user32.dll   GetForegroundWindow
119 0x027b077c NONE FUNC user32.dll   GetFocus
120 0x027b0780 NONE FUNC user32.dll   GetDoubleClickTime
121 0x027b0784 NONE FUNC user32.dll   GetDlgItem
122 0x027b0788 NONE FUNC user32.dll   GetDesktopWindow
123 0x027b078c NONE FUNC user32.dll   GetDCEx
124 0x027b0790 NONE FUNC user32.dll   GetDC
125 0x027b0794 NONE FUNC user32.dll   GetCursorPos
126 0x027b0798 NONE FUNC user32.dll   GetCursor
127 0x027b079c NONE FUNC user32.dll   GetClipboardData
128 0x027b07a0 NONE FUNC user32.dll   GetClientRect
129 0x027b07a4 NONE FUNC user32.dll   GetClassNameA
130 0x027b07a8 NONE FUNC user32.dll   GetClassInfoA
131 0x027b07ac NONE FUNC user32.dll   GetCaretPos
132 0x027b07b0 NONE FUNC user32.dll   GetCapture
133 0x027b07b4 NONE FUNC user32.dll   GetAsyncKeyState
134 0x027b07b8 NONE FUNC user32.dll   GetActiveWindow
135 0x027b07bc NONE FUNC user32.dll   FrameRect
136 0x027b07c0 NONE FUNC user32.dll   FindWindowA
137 0x027b07c4 NONE FUNC user32.dll   FillRect
138 0x027b07c8 NONE FUNC user32.dll   EqualRect
139 0x027b07cc NONE FUNC user32.dll   EnumWindows
140 0x027b07d0 NONE FUNC user32.dll   EnumThreadWindows
141 0x027b07d4 NONE FUNC user32.dll   EnumClipboardFormats
142 0x027b07d8 NONE FUNC user32.dll   EndPaint
143 0x027b07dc NONE FUNC user32.dll   EndDeferWindowPos
144 0x027b07e0 NONE FUNC user32.dll   EnableWindow
145 0x027b07e4 NONE FUNC user32.dll   EnableScrollBar
146 0x027b07e8 NONE FUNC user32.dll   EnableMenuItem
147 0x027b07ec NONE FUNC user32.dll   EmptyClipboard
148 0x027b07f0 NONE FUNC user32.dll   DrawTextA
149 0x027b07f4 NONE FUNC user32.dll   DrawMenuBar
150 0x027b07f8 NONE FUNC user32.dll   DrawIconEx
151 0x027b07fc NONE FUNC user32.dll   DrawIcon
152 0x027b0800 NONE FUNC user32.dll   DrawFrameControl
153 0x027b0804 NONE FUNC user32.dll   DrawFocusRect
154 0x027b0808 NONE FUNC user32.dll   DrawEdge
155 0x027b080c NONE FUNC user32.dll   DispatchMessageA
156 0x027b0810 NONE FUNC user32.dll   DestroyWindow
157 0x027b0814 NONE FUNC user32.dll   DestroyMenu
158 0x027b0818 NONE FUNC user32.dll   DestroyIcon
159 0x027b081c NONE FUNC user32.dll   DestroyCursor
160 0x027b0820 NONE FUNC user32.dll   DeleteMenu
